Crime name,Area,Criminal Age,Guilty 
Stealing,Ashulia,Adolescent,Misguided
Murder,Dhaka,Elderly,Self
Stealing,Dhaka,Adolescent,Self
Abuse,Savar,Middle-aged,Self
Stealing,Ashulia,Elderly,Self
Abuse,Savar,Adolescent,Misguided
Abuse,Ashulia,Elderly,Self
Cyber Crime,Ashulia,Middle-aged,Self
Abuse,Dhaka,Child,Misguided
Murder,Dhaka,Adolescent,Self
Stealing,Dhaka,Middle-aged,Self
Stealing,Ashulia,Adolescent,Misguided
Abuse,Savar,Child,Self
Abuse,Savar,Child,Self
Abuse,Ashulia,Elderly,Self
Abuse,Ashulia,Adolescent,Misguided
Cyber Crime,Ashulia,Middle-aged,Self
Cyber Crime,Dhaka,Child,Misguided
Murder,Savar,Elderly,Self
Abuse,Savar,Child,Self
Abuse,Ashulia,Adolescent,Misguided
Stealing,Savar,Middle-aged,Self
Cyber Crime,Savar,Child,Self
Murder,Ashulia,Adolescent,Misguided
Stealing,Savar,Middle-aged,Self
Murder,Ashulia,Middle-aged,Self
Murder,Dhaka,Middle-aged,Self
Drugs,Ashulia,Middle-aged,Self
Murder,Dhaka,Child,Misguided
Drugs,Ashulia,Child,Self
